 Variables = "X", "Y", "Z"
Zone i=   31 j=   41 f=point
 0.52609E+00   0.49153E-02   0.23059E-02
 0.46532E+00   0.15052E-02  -0.87872E-02
 0.46578E+00   0.27876E-02  -0.79284E-02
 0.46654E+00   0.40577E-02  -0.71625E-02
 0.46777E+00   0.51590E-02  -0.66213E-02
 0.46926E+00   0.60661E-02  -0.61379E-02
 0.47098E+00   0.67062E-02  -0.57210E-02
 0.47287E+00   0.70548E-02  -0.53527E-02
 0.47487E+00   0.71636E-02  -0.49803E-02
 0.47694E+00   0.71796E-02  -0.45584E-02
 0.47910E+00   0.71649E-02  -0.40863E-02
 0.48134E+00   0.71405E-02  -0.36046E-02
 0.48368E+00   0.71142E-02  -0.31685E-02
 0.48613E+00   0.70868E-02  -0.27811E-02
 0.48868E+00   0.70602E-02  -0.24321E-02
 0.49134E+00   0.70336E-02  -0.21022E-02
 0.49411E+00   0.70048E-02  -0.17687E-02
 0.49688E+00   0.69746E-02  -0.14316E-02
 0.49954E+00   0.69431E-02  -0.10980E-02
 0.50209E+00   0.69106E-02  -0.75747E-03
 0.50455E+00   0.68778E-02  -0.41497E-03
 0.50691E+00   0.68453E-02  -0.84009E-04
 0.50918E+00   0.68143E-02   0.23139E-03
 0.51136E+00   0.67846E-02   0.53059E-03
 0.51346E+00   0.67559E-02   0.81358E-03
 0.51548E+00   0.67286E-02   0.10806E-02
 0.51743E+00   0.67026E-02   0.13295E-02
 0.51930E+00   0.66777E-02   0.15639E-02
 0.52109E+00   0.66537E-02   0.17846E-02
 0.52282E+00   0.66306E-02   0.19907E-02
 0.52449E+00   0.66080E-02   0.21847E-02
 0.52609E+00   0.65860E-02   0.23693E-02
 0.46532E+00   0.32184E-02  -0.77070E-02
 0.46579E+00   0.46463E-02  -0.71439E-02
 0.46658E+00   0.60022E-02  -0.65953E-02
 0.46784E+00   0.70931E-02  -0.61287E-02
 0.46935E+00   0.79812E-02  -0.57171E-02
 0.47109E+00   0.85929E-02  -0.53528E-02
 0.47299E+00   0.89114E-02  -0.50135E-02
 0.47498E+00   0.90039E-02  -0.46582E-02
 0.47705E+00   0.90102E-02  -0.42391E-02
 0.47920E+00   0.89906E-02  -0.37883E-02
 0.48145E+00   0.89644E-02  -0.33493E-02
 0.48379E+00   0.89347E-02  -0.29503E-02
 0.48624E+00   0.89028E-02  -0.25944E-02
 0.48878E+00   0.88696E-02  -0.22597E-02
 0.49144E+00   0.88355E-02  -0.19394E-02
 0.49420E+00   0.87987E-02  -0.16139E-02
 0.49696E+00   0.87605E-02  -0.12872E-02
 0.49961E+00   0.87206E-02  -0.95893E-03
 0.50216E+00   0.86796E-02  -0.61918E-03
 0.50461E+00   0.86384E-02  -0.27792E-03
 0.50696E+00   0.85978E-02   0.52970E-04
 0.50922E+00   0.85593E-02   0.36290E-03
 0.51140E+00   0.85223E-02   0.65467E-03
 0.51350E+00   0.84865E-02   0.93182E-03
 0.51551E+00   0.84525E-02   0.11905E-02
 0.51745E+00   0.84199E-02   0.14308E-02
 0.51931E+00   0.83886E-02   0.16589E-02
 0.52111E+00   0.83584E-02   0.18753E-02
 0.52283E+00   0.83291E-02   0.20773E-02
 0.52449E+00   0.83006E-02   0.22669E-02
 0.52609E+00   0.82729E-02   0.24470E-02
 0.46532E+00   0.51830E-02  -0.70319E-02
 0.46580E+00   0.66365E-02  -0.65708E-02
 0.46663E+00   0.79988E-02  -0.61129E-02
 0.46792E+00   0.90687E-02  -0.57099E-02
 0.46946E+00   0.99260E-02  -0.53486E-02
 0.47121E+00   0.10502E-01  -0.50147E-02
 0.47311E+00   0.10788E-01  -0.46915E-02
 0.47510E+00   0.10863E-01  -0.43392E-02
 0.47717E+00   0.10860E-01  -0.39278E-02
 0.47932E+00   0.10837E-01  -0.35050E-02
 0.48156E+00   0.10808E-01  -0.31067E-02
 0.48390E+00   0.10774E-01  -0.27394E-02
 0.48634E+00   0.10736E-01  -0.24021E-02
 0.48888E+00   0.10696E-01  -0.20833E-02
 0.49153E+00   0.10655E-01  -0.17720E-02
 0.49429E+00   0.10610E-01  -0.14559E-02
 0.49704E+00   0.10563E-01  -0.11365E-02
 0.49968E+00   0.10515E-01  -0.80983E-03
 0.50222E+00   0.10465E-01  -0.47074E-03
 0.50466E+00   0.10416E-01  -0.12945E-03
 0.50701E+00   0.10367E-01   0.19355E-03
 0.50927E+00   0.10321E-01   0.49630E-03
 0.51144E+00   0.10277E-01   0.78226E-03
 0.51353E+00   0.10234E-01   0.10502E-02
 0.51554E+00   0.10193E-01   0.13009E-02
 0.51747E+00   0.10154E-01   0.15397E-02
 0.51933E+00   0.10116E-01   0.17635E-02
 0.52112E+00   0.10080E-01   0.19726E-02
 0.52284E+00   0.10044E-01   0.21704E-02
 0.52449E+00   0.10010E-01   0.23569E-02
 0.52609E+00   0.99762E-02   0.25338E-02
 0.46532E+00   0.72103E-02  -0.64898E-02
 0.46582E+00   0.86744E-02  -0.61011E-02
 0.46668E+00   0.10029E-01  -0.57078E-02
 0.46801E+00   0.11070E-01  -0.53490E-02
 0.46957E+00   0.11889E-01  -0.50140E-02
 0.47132E+00   0.12427E-01  -0.46944E-02
 0.47322E+00   0.12681E-01  -0.43758E-02
 0.47521E+00   0.12739E-01  -0.40249E-02
 0.47727E+00   0.12730E-01  -0.36274E-02
 0.47942E+00   0.12703E-01  -0.32393E-02
 0.48166E+00   0.12670E-01  -0.28724E-02
 0.48400E+00   0.12631E-01  -0.25329E-02
 0.48644E+00   0.12587E-01  -0.22141E-02
 0.48898E+00   0.12541E-01  -0.19074E-02
 0.49162E+00   0.12491E-01  -0.16037E-02
 0.49437E+00   0.12438E-01  -0.12945E-02
 0.49711E+00   0.12383E-01  -0.97899E-03
 0.49975E+00   0.12326E-01  -0.65288E-03
 0.50228E+00   0.12268E-01  -0.31121E-03
 0.50472E+00   0.12210E-01   0.26360E-04
 0.50706E+00   0.12154E-01   0.33991E-03
 0.50931E+00   0.12100E-01   0.63329E-03
 0.51148E+00   0.12049E-01   0.91003E-03
 0.51356E+00   0.11999E-01   0.11704E-02
 0.51557E+00   0.11951E-01   0.14172E-02
 0.51750E+00   0.11905E-01   0.16516E-02
 0.51935E+00   0.11860E-01   0.18709E-02
 0.52113E+00   0.11818E-01   0.20770E-02
 0.52285E+00   0.11776E-01   0.22735E-02
 0.52450E+00   0.11735E-01   0.24581E-02
 0.52609E+00   0.11696E-01   0.26320E-02
 0.46532E+00   0.92820E-02  -0.60415E-02
 0.46584E+00   0.10748E-01  -0.57036E-02
 0.46673E+00   0.12085E-01  -0.53531E-02
 0.46809E+00   0.13091E-01  -0.50216E-02
 0.46967E+00   0.13871E-01  -0.47040E-02
 0.47143E+00   0.14370E-01  -0.43877E-02
 0.47333E+00   0.14593E-01  -0.40685E-02
 0.47531E+00   0.14635E-01  -0.37177E-02
 0.47737E+00   0.14619E-01  -0.33400E-02
 0.47952E+00   0.14588E-01  -0.29823E-02
 0.48176E+00   0.14551E-01  -0.26458E-02
 0.48410E+00   0.14507E-01  -0.23272E-02
 0.48653E+00   0.14457E-01  -0.20223E-02
 0.48906E+00   0.14403E-01  -0.17269E-02
 0.49170E+00   0.14346E-01  -0.14343E-02
 0.49444E+00   0.14285E-01  -0.11301E-02
 0.49718E+00   0.14220E-01  -0.81246E-03
 0.49981E+00   0.14154E-01  -0.48806E-03
 0.50234E+00   0.14087E-01  -0.14796E-03
 0.50477E+00   0.14021E-01   0.18319E-03
 0.50710E+00   0.13958E-01   0.48696E-03
 0.50935E+00   0.13897E-01   0.77209E-03
 0.51151E+00   0.13838E-01   0.10431E-02
 0.51359E+00   0.13781E-01   0.12979E-02
 0.51559E+00   0.13726E-01   0.15388E-02
 0.51752E+00   0.13673E-01   0.17701E-02
 0.51937E+00   0.13622E-01   0.19862E-02
 0.52115E+00   0.13573E-01   0.21885E-02
 0.52286E+00   0.13525E-01   0.23821E-02
 0.52450E+00   0.13478E-01   0.25657E-02
 0.52609E+00   0.13432E-01   0.27401E-02
 0.46532E+00   0.11388E-01  -0.56565E-02
