ArcLength_m,Tension_Min_kN,Tension_Max_kN,Tension_Mean_kN,Y_Min_m,Y_Max_m,Strain_Min_pct,Strain_Max_pct,BendStress_Min_MPa,BendStress_Max_MPa,TensStress_Min_MPa,TensStress_Max_MPa,CombinedUtil
2729.1222314739207,1.301876953125,1.34007080078125,1.3184054822119597,-17.124078116315616,-17.109868130582583,1.0655393599668688,1.0970893663254007,0.4579068875928666,10.844732337989155,22.05666475131418,22.70974988293579,0.0748717581756066
2729.622214821131,1.3018358154296874,1.339983642578125,1.3184039546217874,-17.12417529181915,-17.109863143724976,1.0655031102154127,1.0970179917696916,0.2378536522022003,10.75116057395657,22.055914381459043,22.708272429632615,0.0746596702057107
2730.122198168342,1.3017828369140625,1.339063720703125,1.3181209956374123,-17.12427115935416,-17.109857325735994,1.0654572344639495,1.096262064831244,0.15506146521461145,10.71932669265635,22.05496475340376,22.69262474200675,0.07455372225744479
2730.6221815155523,1.3017510986328125,1.33896923828125,1.3181195695823598,-17.12436606488398,-17.1098509033697,1.0654289251827769,1.0961844468322677,0.1204041957952873,10.775733119583618,22.05437875128348,22.691018049427942,0.0746759995863337
2731.1221648627634,1.30172412109375,1.3388709716796876,1.3181181777526285,-17.124459877577134,-17.109843984213178,1.065404641591057,1.096103605529085,0.07521585392078453,10.758245725698364,22.053876080934877,22.689344634452056,0.07463324513588339
2731.6221482099736,1.3017052001953124,1.337976318359375,1.317834608416691,-17.12455282427226,-17.109836675895796,1.0653870951386357,1.0953681059060134,0.15160252709160738,10.768757984717569,22.05351286936976,22.674119792254476,0.07462272971842618
2732.1221315571847,1.3016878662109375,1.33787158203125,1.3178333135587033,-17.124652761244757,-17.109829086089118,1.065370971065428,1.0952817161817103,0.07521585377374901,10.791472116799385,22.05317910105436,22.672331524961407,0.07466942262454115
2732.622114904395,1.301675537109375,1.3377633056640625,1.3178320552077247,-17.12476516062658,-17.109821441716367,1.0653590814060139,1.0951923008766775,0.2711948263975787,10.784130109622504,22.05293298510449,22.670480628147224,0.0746489100480091
2733.122098251606,1.301689697265625,1.3369010009765625,1.3175478515625,-17.12488309682588,-17.10981396974305,1.0653690856571292,1.0944830388224682,0.07753069076688919,10.794535274696882,22.053140073102572,22.65579890362509,0.07463936755163893
2733.6220815988163,1.30168701171875,1.336786865234375,1.3175466924649533,-17.12500202847883,-17.10980677796766,1.0653653691121665,1.0943885722257414,0.3760794616427357,10.869743958524493,22.053063140621845,22.653843445072845,0.07480282105785874
2734.1220649460274,1.3016893310546875,1.3366697998046875,1.3175455767194801,-17.125121944217007,-17.10979997423104,1.0653658925096372,1.09429158005486,0.3451948294627254,10.843900890487358,22.053073974949488,22.6518357071356,0.07474067619160271
2734.6220482932376,1.30173583984375,1.3358453369140626,1.317260769567757,-17.125242951923596,-17.109793666416397,1.0654028621919138,1.093613065501263,0.36510731618102416,10.857180218249207,22.053839247372615,22.637790455876143,0.07473896714902185
2735.1220316404488,1.3017218017578125,1.3357230224609375,1.3172597279771467,-17.125365159524083,-17.109788081658483,1.0654000944711834,1.0935115219888487,0.27119482526718663,10.881399614032164,22.053781955553497,22.635688505169163,0.07478831888654199
2735.622014987659,1.30171142578125,1.3355982666015624,1.3172587160484814,-17.12548855577708,-17.109783447134504,1.0653897244869577,1.0934078541035315,0.07753073154706365,10.831160274906306,22.053567296880026,22.6335425799431,0.07467142908270898
2736.12199833487,1.3017216796875,1.3348157958984375,1.3169733829676546,-17.12561348711144,-17.109779751645437,1.0653964319108957,1.092763497938163,0.18803984355578715,10.84049290211361,22.05370614055554,22.620204407319978,0.0746624913132104
2736.6219816820803,1.301720947265625,1.3346866455078126,1.3169724566022927,-17.125740896044782,-17.10977710324388,1.0653942336871687,1.0926559823084925,0.22564755749565013,10.89166315975768,22.05366063732439,22.6179788337858,0.07477170398198382
2737.1219650292915,1.3017252197265625,1.334555419921875,1.3169715587580315,-17.125886864716968,-17.10977584844347,1.0653962750673867,1.0925466447018473,0.2444515594111277,10.872866363588148,22.0537028938949,22.61571554532824,0.07472471158457546
2737.6219483765017,1.3017681884765624,1.3338175048828125,1.3166857533677716,-17.126050428381877,-17.109775976172404,1.0654302478925821,1.0919385581675647,0.23785343478823123,10.86265015677681,22.05440613137645,22.60312815406859,0.07467382880030052
2738.121931723713,1.3017822265625,1.3336829833984376,1.3166849331009054,-17.126215363546685,-17.109777475401238,1.065440571460048,1.0918262803428382,0.2127426752206922,10.881399613020262,22.054619829222993,22.60080400309675,0.07471047938772904
2738.621915070923,1.301801025390625,1.333546630859375,1.3166841253833237,-17.126381659224453,-17.1097806927709,1.0654549377542017,1.0917123843009853,0.18803970505677856,10.852228848998116,22.054917211511974,22.5984463550304,0.0746401284989861
2739.121898418134,1.3018763427734374,1.332924072265625,1.3163979149934286,-17.12654930447072,-17.109785617336932,1.065515886334446,1.0911737380820135,0.08409386458065718,10.88854614507927,22.056178847123036,22.587296378297673,0.07469628557021663
2739.6218817653444,1.30190478515625,1.33278564453125,1.3163971848532419,-17.126718049964843,-17.109792357406555,1.06553843945182,1.09105699705647,0.3196676174811735,10.926150536900794,22.056645696652673,22.584879839068925,0.07477480194763228
2740.1218651125555,1.3019381103515626,1.3326475830078126,1.3163964684031835,-17.12688800405662,-17.10980125974815,1.0655651369783545,1.0909404784221983,0.18519771770565374,10.908644963943397,22.05719833545194,22.582467903339506,0.07473035903583167
2740.6218484597657,1.302045166015625,1.332153564453125,1.3161099328727366,-17.12705915592906,-17.109812194335433,1.0656525636764886,1.0905313266544625,0.22009495121505235,10.931327191535454,22.059008068103317,22.573998461747372,0.07476207272073915
2741.121831806977,1.3020877685546874,1.3320172119140625,1.3161092803099446,-17.127231494807656,-17.1098251503939,1.065687147322756,1.090416066626864,0.16066114595182307,10.924855985122152,22.059723949581045,22.571612579176083,0.0747423094646642
2741.621815154187,1.3021351318359375,1.3318818359375,1.316108643718969,-17.1274048907512,-17.1098404748195,1.0657257739213692,1.0903015435521022,0.07521593742230943,10.875207578600781,22.060523520172346,22.569241951528515,0.07462623684816004
2742.121798501398,1.30227392578125,1.3314271240234374,1.3158218537803008,-17.12757921386107,-17.109858156922897,1.0658396754653414,1.0899244993830761,0.40198325571261234,10.875207578998186,22.062881282132565,22.561437137229678,0.07460882158497147
