import time: self [us] | cumulative | imported package
import time:      2871 |       2871 |                 numpy._typing._array_like
import time:      1724 |      11433 |               numpy._typing
import time:      2623 |      16834 |             numpy.linalg.linalg
import time:      1589 |      18423 |           numpy.linalg
import time:      2591 |      21014 |         numpy.matrixlib.defmatrix
import time:      2278 |      23292 |       numpy.matrixlib
import time:       912 |        912 |         numpy.lib.histograms
import time:      1727 |       2638 |       numpy.lib.function_base
import time:      2207 |      28136 |     numpy.lib.index_tricks
import time:      1051 |       1051 |     numpy.lib.nanfunctions
import time:       962 |        962 |     numpy.lib.shape_base
import time:      1090 |       1090 |     numpy.lib.polynomial
import time:      2538 |       2538 |       platform
import time:      1349 |       3887 |     numpy.lib.utils
import time:       920 |        920 |     numpy.lib.arraysetops
import time:      1823 |       1823 |       numpy.lib.format
import time:      1016 |       1016 |       numpy.lib._datasource
import time:      1138 |       1138 |       numpy.lib._iotools
import time:      1366 |       5342 |     numpy.lib.npyio
import time:       862 |        862 |     numpy.lib.arrayterator
import time:       985 |        985 |     numpy.lib.arraypad
import time:       976 |        976 |     numpy.lib._version
import time:      3400 |      55491 |   numpy.lib
import time:       591 |        591 |       numpy.fft._pocketfft_internal
import time:      1551 |       2141 |     numpy.fft._pocketfft
import time:       807 |        807 |     numpy.fft.helper
import time:      1468 |       4414 |   numpy.fft
import time:      1011 |       1011 |       numpy.polynomial.polyutils
import time:      1276 |       1276 |       numpy.polynomial._polybase
import time:      1861 |       4147 |     numpy.polynomial.polynomial
import time:      1125 |       1125 |     numpy.polynomial.chebyshev
import time:       988 |        988 |     numpy.polynomial.legendre
import time:       930 |        930 |     numpy.polynomial.hermite
import time:       914 |        914 |     numpy.polynomial.hermite_e
import time:       994 |        994 |     numpy.polynomial.laguerre
import time:      1577 |      10671 |   numpy.polynomial
import time:       441 |        441 |             backports_abc
import time:      1083 |       1523 |           numpy.random._common
import time:        81 |         81 |               binascii
import time:       449 |        529 |             base64
import time:      1357 |       1357 |               _hashlib
import time:        53 |         53 |                 _blake2
import time:       459 |        512 |               hashlib
import time:       601 |       2469 |             hmac
import time:        90 |         90 |                 _bisect
import time:       379 |        469 |               bisect
import time:        52 |         52 |               _random
import time:        61 |         61 |               _sha512
import time:       727 |       1308 |             random
import time:       440 |       4744 |           secrets
import time:      1091 |       7356 |         numpy.random.bit_generator
import time:       693 |        693 |         numpy.random._bounded_integers
import time:       739 |        739 |         numpy.random._mt19937
import time:      1517 |      10303 |       numpy.random.mtrand
import time:       668 |        668 |       numpy.random._philox
import time:       796 |        796 |       numpy.random._pcg64
import time:       771 |        771 |       numpy.random._sfc64
import time:      1324 |       1324 |       numpy.random._generator
import time:      1687 |      15546 |     numpy.random._pickle
import time:      1763 |      17309 |   numpy.random
import time:      1220 |       1220 |   numpy.ctypeslib
import time:        36 |         36 |             _opcode
import time:       616 |        651 |           opcode
import time:       913 |       1564 |         dis
import time:      2075 |       3639 |       inspect
import time:      3998 |       7636 |     numpy.ma.core
import time:      2072 |       2072 |     numpy.ma.extras
import time:      1512 |      11220 |   numpy.ma
import time:      4773 |     222222 | numpy
import time:      1395 |       1395 |     pytz.exceptions
import time:       841 |        841 |     pytz.lazy
import time:       816 |        816 |     pytz.tzinfo
import time:       721 |        721 |     pytz.tzfile
import time:      2341 |       6112 |   pytz
import time:      1178 |       1178 |     dateutil._version
import time:      1267 |       2444 |   dateutil
import time:       982 |        982 |       sysconfig
import time:       656 |        656 |       _sysconfigdata__linux_x86_64-linux-gnu
import time:      1636 |       3273 |     pandas.compat._constants
import time:       407 |        407 |         _compression
import time:        50 |         50 |         _bz2
import time:       599 |       1055 |       bz2
import time:        68 |         68 |         _lzma
import time:      1266 |       1333 |       lzma
import time:      1051 |       3439 |     pandas.compat.compressors
import time:      1143 |       1143 |         pandas.util
import time:      3603 |       4745 |       pandas.util.version
import time:      1408 |       6153 |     pandas.compat.numpy
import time:        51 |         51 |         gc
import time:      1247 |       1247 |         pyarrow._generated_version
import time:       477 |        477 |           backports_abc
import time:       516 |        516 |             _decimal
import time:       349 |        864 |           decimal
import time:       332 |        332 |           cloudpickle
import time:       762 |        762 |           signal
import time:       173 |        173 |               _socket
import time:        65 |         65 |                 select
import time:       709 |        773 |               selectors
import time:        87 |         87 |               array
import time:      1839 |       2871 |             socket
import time:       810 |       3681 |           pyarrow.util
import time:        48 |         48 |               _heapq
import time:       479 |        527 |             heapq
import time:        60 |         60 |             _queue
import time:       618 |       1204 |           queue
import time:     22423 |      29740 |         pyarrow.lib
import time:      1000 |       1000 |         pyarrow._hdfsio
import time:      1094 |       1094 |           pyarrow.filesystem
import time:      1063 |       2157 |         pyarrow.hdfs
import time:       905 |        905 |         pyarrow.ipc
import time:       956 |        956 |         pyarrow.types
import time:      2829 |      38881 |       pyarrow
