import time: self [us] | cumulative | imported package
import time:      1106 |       1106 |       pandas.core.computation.pytables
import time:      3278 |       4384 |     pandas.io.pytables
import time:      1663 |       1663 |       pandas.io.sas.sasreader
import time:      1263 |       2926 |     pandas.io.sas
import time:       887 |        887 |     pandas.io.spss
import time:      1621 |       1621 |     pandas.io.sql
import time:      1508 |       1508 |     pandas.io.xml
import time:      1436 |      32505 |   pandas.io.api
import time:       705 |        705 |   pandas.util._tester
import time:       657 |        657 |   pandas._version_meson
import time:      2315 |     560799 | pandas
import time:      1167 |       1167 |       _plotly_utils
import time:      1078 |       2245 |     _plotly_utils.importers
import time:      1309 |       3553 |   plotly
import time:      1638 |       5191 | plotly.graph_objects
import time:      1196 |       1196 |   plotly._subplots
import time:       781 |        781 |       _plotly_utils.optional_imports
import time:      1214 |       1214 |         PIL._version
import time:      3083 |       4297 |       _plotly_utils.basevalidators
import time:       942 |       6019 |     _plotly_utils.utils
import time:      1049 |       1049 |     _plotly_utils.exceptions
import time:       680 |        680 |     plotly.optional_imports
import time:       684 |        684 |     plotly.shapeannotation
import time:      2081 |      10511 |   plotly.basedatatypes
import time:      5908 |      17613 | plotly.subplots
import time:      2323 |       2323 |   plotly.io
import time:       789 |       3111 | report_template
import time:      1144 |       1144 | pandas.io.formats.string
import time:      1484 |       1484 | plotly.validators
import time:       665 |        665 |         plotly.exceptions
import time:       724 |        724 |           _plotly_utils.files
import time:       702 |       1425 |         plotly.files
import time:      1462 |       1462 |           IPython.core
import time:      1199 |       2661 |         IPython.core.getipython
import time:       758 |        758 |         IPython.core.release
import time:      1134 |       1134 |                     traitlets.utils
import time:      1159 |       2293 |                   traitlets.utils.bunch
import time:       708 |        708 |                   traitlets.utils.descriptions
import time:       674 |        674 |                   traitlets.utils.getargspec
import time:       648 |        648 |                   traitlets.utils.importstring
import time:       680 |        680 |                   traitlets.utils.sentinel
import time:       791 |        791 |                   traitlets.utils.warnings
import time:      5059 |      10852 |                 traitlets.traitlets
import time:       816 |        816 |                 traitlets._version
import time:       770 |        770 |                 traitlets.utils.decorators
import time:      1491 |      13927 |               traitlets
import time:       747 |        747 |                   logging.handlers
import time:       741 |        741 |                   socketserver
import time:      1360 |       2847 |                 logging.config
import time:       810 |        810 |                   traitlets.utils.text
import time:      1695 |       1695 |                   traitlets.config.loader
import time:      1416 |       3921 |                 traitlets.config.configurable
import time:       793 |        793 |                 traitlets.utils.nested_update
import time:      2296 |       9856 |               traitlets.config.application
import time:      1289 |      25071 |             traitlets.config
import time:        59 |      25129 |           traitlets.config.application
import time:      1191 |       1191 |                     html.entities
import time:       528 |       1719 |                   html
import time:       737 |        737 |                       executing._utils
import time:       831 |        831 |                         executing._exceptions
import time:       996 |       1826 |                       executing._position_node_finder
import time:      1546 |       4108 |                     executing.executing
import time:       639 |        639 |                     executing._pytest_utils
import time:       650 |        650 |                     executing.version
import time:      1652 |       7047 |                   executing
import time:      1061 |       1061 |                       asttokens.line_numbers
import time:       500 |        500 |                             astroid
import time:        68 |        567 |                           astroid.nodes
import time:      1248 |       1814 |                         asttokens.util
import time:      1023 |       2837 |                       asttokens.asttokens
import time:      1286 |       5182 |                     asttokens
import time:        59 |       5241 |                   asttokens.util
import time:      1144 |       1144 |                           fractions
import time:       999 |       2142 |                         pure_eval.utils
import time:       845 |       2987 |                       pure_eval.my_getattr_static
import time:      1290 |       4276 |                     pure_eval.core
import time:       621 |        621 |                     pure_eval.version
import time:      1370 |       6266 |                   pure_eval
import time:       891 |        891 |                   stack_data.utils
import time:      2429 |      23591 |                 stack_data.core
import time:       951 |        951 |                 stack_data.formatting
import time:       786 |        786 |                 stack_data.serializing
import time:       653 |        653 |                 stack_data.version
import time:      1469 |      27447 |               stack_data
import time:      1167 |       1167 |                   pygments
import time:      1142 |       1142 |                   pygments.formatters._mapping
import time:       328 |        328 |                       email
import time:      1682 |       1682 |                           quopri
import time:       267 |        267 |                             email._parseaddr
import time:       133 |        133 |                               email.base64mime
import time:       288 |        288 |                               email.quoprimime
import time:       554 |        554 |                               email.errors
import time:       140 |        140 |                               email.encoders
import time:       551 |       1665 |                             email.charset
import time:       820 |       2751 |                           email.utils
import time:       616 |        616 |                             email.header
import time:       559 |       1174 |                           email._policybase
import time:       420 |        420 |                           email._encoded_words
import time:       214 |        214 |                           email.iterators
import time:      1343 |       7582 |                         email.message
import time:       211 |        211 |                           importlib.metadata._functools
import time:       354 |        565 |                         importlib.metadata._text
import time:       521 |       8666 |                       importlib.metadata._adapters
import time:       368 |        368 |                       importlib.metadata._meta
import time:       317 |        317 |                       importlib.metadata._collections
import time:       206 |        206 |                       importlib.metadata._itertools
import time:       372 |        372 |                               importlib.resources.abc
import time:       311 |        311 |                               importlib.resources._adapters
import time:       732 |       1415 |                             importlib.resources._common
import time:       351 |        351 |                             importlib.resources._legacy
import time:       463 |       2228 |                           importlib.resources
import time:        93 |       2321 |                         importlib.resources.abc
import time:       555 |       2875 |                       importlib.abc
import time:      1798 |      14555 |                     importlib.metadata
import time:       956 |      15510 |                   pygments.plugin
import time:      2086 |       2086 |                   pygments.util
import time:      1814 |      21718 |                 pygments.formatters
import time:      1184 |       1184 |                     pygments.styles._mapping
import time:      1354 |       2538 |                   pygments.styles
import time:       858 |       3395 |                 pygments.formatter
import time:       719 |        719 |                 pygments.console
import time:      1019 |       1019 |                   pygments.token
import time:       977 |       1995 |                 pygments.style
import time:      1085 |      28911 |               pygments.formatters.terminal256
import time:      1141 |       1141 |                 IPython.utils
import time:      1590 |       2731 |               IPython.utils.colorable
import time:       729 |        729 |                     IPython.utils.ipstruct
import time:       842 |       1570 |                   IPython.utils.coloransi
import time:       729 |       2299 |                 IPython.core.excolors
import time:       937 |        937 |                 IPython.utils.PyColorize
import time:       703 |        703 |                   IPython.utils.encoding
import time:       784 |       1486 |                 IPython.utils.py3compat
import time:       366 |        366 |                   cmd
import time:       491 |        491 |                   bdb
import time:       301 |        301 |                     codeop
import time:       403 |        704 |                   code
import time:       499 |        499 |                   glob
import time:      1294 |       3353 |                 pdb
import time:      1386 |       9457 |               IPython.core.debugger
import time:       905 |        905 |               IPython.core.display_trap
import time:       510 |        510 |                       shlex
import time:       793 |       1303 |                     IPython.utils._process_common
import time:       820 |       2122 |                   IPython.utils._process_posix
import time:       854 |       2975 |                 IPython.utils.process
import time:       837 |       3811 |               IPython.utils.path
import time:       797 |        797 |               IPython.utils.terminal
import time:      2837 |      76892 |             IPython.core.ultratb
import time:       698 |        698 |               IPython.utils._sysinfo
import time:       801 |       1498 |             IPython.utils.sysinfo
import time:       985 |      79374 |           IPython.core.crashhandler
import time:       744 |        744 |               IPython.utils.importstring
import time:       845 |       1588 |             IPython.paths
import time:      1268 |       2855 |           IPython.core.profiledir
import time:      1630 |     108986 |         IPython.core.application
import time:      1215 |       1215 |           IPython.terminal
import time:       785 |        785 |           IPython.core.compilerop
import time:       810 |        810 |             IPython.core.error
import time:       690 |        690 |               IPython.utils.docs
import time:       772 |       1462 |             IPython.utils.decorators
import time:      3146 |       3146 |               typing_extensions
import time:      1735 |       4881 |             IPython.utils.text
import time:      1162 |       8313 |           IPython.core.magic_arguments
import time:       342 |        342 |             getopt
import time:       757 |        757 |                   IPython.core.display_functions
import time:       361 |        361 |                       _winapi
import time:       307 |        307 |                       winreg
import time:       648 |       1315 |                     mimetypes
import time:      1252 |       1252 |                       IPython.testing
import time:      1352 |       2603 |                     IPython.testing.skipdoctest
import time:      1311 |       5228 |                   IPython.core.display
import time:      1305 |       1305 |                     IPython.lib
import time:      1539 |       2844 |                   IPython.lib.display
import time:       855 |       9683 |                 IPython.display
import time:       662 |        662 |                 IPython.utils.data
import time:      1042 |      11385 |               IPython.core.page
import time:      1190 |       1190 |               IPython.lib.pretty
import time:       885 |        885 |               IPython.utils.openpy
import time:       660 |        660 |               IPython.utils.dir2
import time:       722 |        722 |               IPython.utils.wildcard
import time:      3359 |       3359 |                 pygments.lexers._mapping
import time:       837 |        837 |                 pygments.modeline
import time:      1379 |       5575 |               pygments.lexers
import time:       776 |        776 |                   pygments.filter
import time:      1699 |       1699 |                   pygments.filters
import time:       872 |        872 |                   pygments.regexopt
import time:      1316 |       4662 |                 pygments.lexer
import time:       857 |        857 |                 pygments.unistring
import time:      1675 |       7193 |               pygments.lexers.python
import time:       406 |        406 |                 ctags
import time:      1008 |       1414 |               pygments.formatters.html
import time:      3110 |      32130 |             IPython.core.oinspect
import time:      1030 |       1030 |               IPython.utils.tokenutil
import time:      2020 |       3049 |             IPython.core.inputtransformer2
import time:      1561 |      37081 |           IPython.core.magic
import time:        89 |         89 |             runpy
import time:       366 |        366 |             pickleshare
import time:       795 |        795 |             IPython.core.hooks
import time:       706 |        706 |               IPython.core.autocall
import time:       884 |        884 |               IPython.core.macro
import time:      1006 |       1006 |               IPython.core.splitinput
import time:      3208 |       5803 |             IPython.core.prefilter
import time:      1217 |       1217 |             IPython.core.alias
import time:       957 |        957 |             IPython.core.builtin_trap
import time:      1034 |       1034 |             IPython.core.displayhook
import time:      1012 |       1012 |             IPython.core.displaypub
import time:       784 |        784 |             IPython.core.events
import time:       927 |        927 |             IPython.core.extensions
import time:      1222 |       1222 |               decorator
import time:       804 |        804 |               IPython.utils.sentinel
import time:      3268 |       5294 |             IPython.core.formatters
import time:       308 |        308 |                   _sqlite3
import time:       335 |        642 |                 sqlite3.dbapi2
import time:       367 |       1009 |               sqlite3
import time:      2646 |       3655 |             IPython.core.history
import time:       851 |        851 |             IPython.core.logger
import time:       855 |        855 |             IPython.core.payload
import time:       702 |        702 |             IPython.core.usage
import time:       813 |        813 |               IPython.utils.capture
import time:       778 |       1591 |             IPython.utils.io
import time:       749 |        749 |             IPython.utils.strdispatch
import time:       764 |        764 |             IPython.utils.syspathcontext
import time:       326 |        326 |               docrepr
import time:        76 |        401 |             docrepr.sphinxify
import time:       252 |        252 |                     concurrent
import time:       627 |        627 |                     concurrent.futures._base
import time:       290 |       1168 |                   concurrent.futures
import time:      2120 |       2120 |                     _ssl
import time:      3616 |       5735 |                   ssl
import time:       467 |        467 |                   asyncio.constants
import time:       226 |        226 |                   asyncio.coroutines
import time:       317 |        317 |                     asyncio.format_helpers
import time:       186 |        186 |                       asyncio.base_futures
import time:       219 |        219 |                       asyncio.exceptions
import time:       148 |        148 |                       asyncio.base_tasks
import time:       328 |        879 |                     _asyncio
import time:       815 |       2010 |                   asyncio.events
import time:       287 |        287 |                   asyncio.futures
import time:       201 |        201 |                   asyncio.protocols
import time:       288 |        288 |                     asyncio.transports
import time:       125 |        125 |                     asyncio.log
import time:       880 |       1292 |                   asyncio.sslproto
import time:       135 |        135 |                       asyncio.mixins
import time:       448 |        448 |                       asyncio.tasks
import time:       685 |       1267 |                     asyncio.locks
import time:       387 |       1654 |                   asyncio.staggered
import time:       171 |        171 |                   asyncio.trsock
import time:      1807 |      15012 |                 asyncio.base_events
import time:       320 |        320 |                 asyncio.runners
import time:       263 |        263 |                 asyncio.queues
import time:       371 |        371 |                 asyncio.streams
import time:       322 |        322 |                 asyncio.subprocess
import time:       242 |        242 |                 asyncio.taskgroups
import time:       369 |        369 |                 asyncio.timeouts
import time:       153 |        153 |                 asyncio.threads
import time:       248 |        248 |                   asyncio.base_subprocess
import time:       622 |        622 |                   asyncio.selector_events
import time:       902 |       1770 |                 asyncio.unix_events
import time:      1384 |      20203 |               asyncio
import time:       775 |      20977 |             IPython.core.async_helpers
import time:      4169 |      52983 |           IPython.core.interactiveshell
import time:       764 |        764 |                       prompt_toolkit.application.current
import time:       910 |        910 |                             prompt_toolkit.eventloop.utils
import time:      1191 |       2101 |                           prompt_toolkit.eventloop.async_generator
import time:       947 |        947 |                           prompt_toolkit.eventloop.inputhook
import time:      1185 |       4231 |                         prompt_toolkit.eventloop
import time:       774 |       5005 |                       prompt_toolkit.application.run_in_terminal
import time:      1263 |       1263 |                               prompt_toolkit.selection
import time:      1349 |       2612 |                             prompt_toolkit.clipboard.base
import time:      1263 |       1263 |                             prompt_toolkit.clipboard.in_memory
import time:      1288 |       5162 |                           prompt_toolkit.clipboard
import time:       957 |        957 |                               prompt_toolkit.cache
import time:       789 |        789 |                               prompt_toolkit.enums
import time:       901 |        901 |                               prompt_toolkit.filters.base
import time:      1448 |       4094 |                             prompt_toolkit.filters.app
import time:       813 |        813 |                             prompt_toolkit.filters.cli
import time:       873 |        873 |                             prompt_toolkit.filters.utils
import time:      1441 |       7219 |                           prompt_toolkit.filters
import time:      1969 |      14348 |                         prompt_toolkit.document
import time:       958 |      15306 |                       prompt_toolkit.auto_suggest
import time:      2154 |       2154 |                                             prompt_toolkit.keys
import time:      1562 |       3716 |                                           prompt_toolkit.key_binding.key_bindings
import time:       686 |        686 |                                                   wcwidth.bisearch
import time:      1164 |       1164 |                                                     wcwidth.table_grapheme
import time:      1202 |       2365 |                                                   wcwidth.grapheme
import time:       879 |        879 |                                                   wcwidth.table_mc
import time:      2363 |       2363 |                                                   wcwidth.sgr_state
import time:       801 |        801 |                                                   wcwidth.table_vs16
import time:       810 |        810 |                                                   wcwidth.table_wide
import time:       752 |        752 |                                                   wcwidth.table_zero
import time:       711 |        711 |                                                   wcwidth.control_codes
import time:       713 |        713 |                                                   wcwidth.table_ambiguous
import time:      1587 |       1587 |                                                   wcwidth.escape_sequences
import time:       630 |        630 |                                                   wcwidth.unicode_versions
import time:      2446 |      14739 |                                                 wcwidth.wcwidth
import time:      1107 |       1107 |                                                 wcwidth.textwrap
import time:      1374 |      17219 |                                               wcwidth
import time:      1068 |      18286 |                                             prompt_toolkit.utils
import time:      1145 |      19431 |                                           prompt_toolkit.key_binding.key_processor
import time:      1251 |      24397 |                                         prompt_toolkit.key_binding
import time:       980 |      25377 |                                       prompt_toolkit.key_binding.vi_state
import time:      1028 |      26405 |                                     prompt_toolkit.cursor_shapes
import time:      1081 |       1081 |                                     prompt_toolkit.data_structures
import time:      1655 |       1655 |                                       prompt_toolkit.styles.base
import time:       811 |        811 |                                         prompt_toolkit.styles.named_colors
import time:      1091 |       1091 |                                         prompt_toolkit.styles.style
import time:      1031 |       2933 |                                       prompt_toolkit.styles.defaults
import time:       714 |        714 |                                       prompt_toolkit.styles.pygments
import time:       379 |        379 |                                         colorsys
import time:      1056 |       1434 |                                       prompt_toolkit.styles.style_transformation
import time:      1621 |       8356 |                                     prompt_toolkit.styles
import time:      1052 |       1052 |                                     prompt_toolkit.output.color_depth
import time:      1528 |      38420 |                                   prompt_toolkit.output.base
import time:       720 |        720 |                                       prompt_toolkit.output.flush_stdout
import time:       853 |       1572 |                                     prompt_toolkit.output.plain_text
import time:       797 |       2369 |                                   prompt_toolkit.output.defaults
import time:      1680 |      42468 |                                 prompt_toolkit.output
import time:      1388 |      43855 |                               prompt_toolkit.output.vt100
import time:      1040 |       1040 |                                 prompt_toolkit.mouse_events
import time:      1187 |       2226 |                               prompt_toolkit.formatted_text.base
import time:      2076 |      48156 |                             prompt_toolkit.formatted_text.ansi
import time:       262 |        262 |                                   xml
import time:       270 |        270 |                                   xml.dom.domreg
import time:       522 |       1053 |                                 xml.dom
import time:       230 |        230 |                                 xml.dom.minicompat
import time:       195 |        195 |                                   xml.dom.NodeFilter
import time:       589 |        784 |                                 xml.dom.xmlbuilder
import time:      1900 |       3964 |                               xml.dom.minidom
import time:      1077 |       5040 |                             prompt_toolkit.formatted_text.html
import time:       908 |        908 |                             prompt_toolkit.formatted_text.pygments
import time:       883 |        883 |                             prompt_toolkit.formatted_text.utils
import time:      1449 |      56434 |                           prompt_toolkit.formatted_text
import time:      2102 |      58536 |                         prompt_toolkit.completion.base
import time:       876 |        876 |                         prompt_toolkit.completion.deduplicate
import time:       857 |        857 |                         prompt_toolkit.completion.filesystem
import time:       744 |        744 |                           prompt_toolkit.completion.word_completer
import time:      1206 |       1949 |                         prompt_toolkit.completion.fuzzy_completer
import time:       838 |        838 |                         prompt_toolkit.completion.nested
import time:      1425 |      64478 |                       prompt_toolkit.completion
import time:      1525 |       1525 |                       prompt_toolkit.history
import time:       851 |        851 |                       prompt_toolkit.search
import time:       871 |        871 |                       prompt_toolkit.validation
import time:      4934 |      93732 |                     prompt_toolkit.buffer
import time:      1268 |       1268 |                         prompt_toolkit.input.base
import time:       776 |        776 |                         prompt_toolkit.input.defaults
import time:      1342 |       3385 |                       prompt_toolkit.input
import time:        89 |       3474 |                     prompt_toolkit.input.base
import time:       757 |        757 |                     prompt_toolkit.input.typeahead
import time:      1299 |       1299 |                       prompt_toolkit.key_binding.bindings
import time:       865 |        865 |                       prompt_toolkit.key_binding.bindings.scroll
import time:      1503 |       3666 |                     prompt_toolkit.key_binding.bindings.page_navigation
import time:      1381 |       1381 |                                     prompt_toolkit.lexers.base
import time:      1002 |       1002 |                                     prompt_toolkit.lexers.pygments
import time:      1219 |       3601 |                                   prompt_toolkit.lexers
import time:       898 |        898 |                                     prompt_toolkit.layout.utils
import time:      1301 |       2199 |                                   prompt_toolkit.layout.processors
import time:      1526 |       7324 |                                 prompt_toolkit.layout.controls
import time:      1011 |       1011 |                                 prompt_toolkit.layout.dimension
import time:       971 |        971 |                                 prompt_toolkit.layout.margins
import time:       766 |        766 |                                 prompt_toolkit.layout.mouse_handlers
import time:       860 |        860 |                                 prompt_toolkit.layout.screen
import time:      2871 |      13801 |                               prompt_toolkit.layout.containers
import time:      1025 |       1025 |                               prompt_toolkit.layout.layout
import time:      1117 |       1117 |                               prompt_toolkit.layout.menus
import time:       952 |        952 |                               prompt_toolkit.layout.scrollable_pane
import time:      1531 |      18423 |                             prompt_toolkit.layout
import time:        58 |      18480 |                           prompt_toolkit.layout.controls
import time:       905 |        905 |                           prompt_toolkit.key_binding.bindings.completion
import time:      1387 |      20771 |                         prompt_toolkit.key_binding.bindings.named_commands
import time:       982 |      21753 |                       prompt_toolkit.key_binding.bindings.basic
import time:       739 |        739 |                       prompt_toolkit.key_binding.bindings.cpr
import time:       937 |        937 |                       prompt_toolkit.key_binding.bindings.emacs
import time:       909 |        909 |                       prompt_toolkit.key_binding.bindings.mouse
import time:      1078 |       1078 |                           prompt_toolkit.input.ansi_escape_sequences
import time:      1577 |       2655 |                         prompt_toolkit.input.vt100_parser
import time:      1334 |       1334 |                         prompt_toolkit.key_binding.digraphs
import time:      1852 |       5840 |                       prompt_toolkit.key_binding.bindings.vi
import time:      1040 |      31214 |                     prompt_toolkit.key_binding.defaults
import time:       795 |        795 |                     prompt_toolkit.key_binding.emacs_state
import time:       740 |        740 |                     prompt_toolkit.layout.dummy
import time:      1147 |       1147 |                     prompt_toolkit.renderer
import time:      2792 |     138312 |                   prompt_toolkit.application.application
import time:       836 |        836 |                   prompt_toolkit.application.dummy
import time:      1537 |     140684 |                 prompt_toolkit.application
import time:       954 |        954 |                         prompt_toolkit.widgets.toolbars
import time:      1731 |       2685 |                       prompt_toolkit.widgets.base
import time:      1002 |       1002 |                         prompt_toolkit.key_binding.bindings.focus
import time:      1031 |       2032 |                       prompt_toolkit.widgets.dialogs
import time:      1191 |       1191 |                       prompt_toolkit.widgets.menus
import time:      1407 |       7313 |                     prompt_toolkit.widgets
import time:      1453 |       8766 |                   prompt_toolkit.shortcuts.choice_input
import time:       924 |        924 |                   prompt_toolkit.shortcuts.dialogs
import time:       384 |        384 |                           xml.parsers
import time:       156 |        156 |                             pyexpat
import time:       306 |        462 |                           xml.parsers.expat
import time:       927 |       1771 |                         xml.dom.expatbuilder
import time:      1932 |       3703 |                       prompt_toolkit.shortcuts.progress_bar.formatters
import time:      1977 |       5679 |                     prompt_toolkit.shortcuts.progress_bar.base
import time:      1424 |       7102 |                   prompt_toolkit.shortcuts.progress_bar
import time:       778 |        778 |                     prompt_toolkit.key_binding.bindings.auto_suggest
import time:       748 |        748 |                     prompt_toolkit.key_binding.bindings.open_in_editor
import time:      2305 |       3830 |                   prompt_toolkit.shortcuts.prompt
import time:       876 |        876 |                   prompt_toolkit.shortcuts.utils
import time:      1428 |      22924 |                 prompt_toolkit.shortcuts
import time:       872 |        872 |                   email.feedparser
import time:       563 |       1435 |                 email.parser
import time:      7168 |     172209 |               prompt_toolkit
import time:       198 |     172407 |             prompt_toolkit.auto_suggest
import time:      1023 |       1023 |             prompt_toolkit.patch_stdout
import time:      3816 |       3816 |                 IPython.core.guarded_eval
import time:      1231 |       1231 |                 IPython.core.latex_symbols
import time:       811 |        811 |                 IPython.utils.generics
import time:      1369 |       1369 |                           parso.utils
import time:      1431 |       2800 |                         parso.tree
import time:      1027 |       1027 |                                   parso.python
import time:       915 |        915 |                                   parso.python.token
import time:      2259 |       4200 |                                 parso.python.tokenize
import time:       873 |       5072 |                               parso.pgen2.grammar_parser
import time:      1914 |       6986 |                             parso.pgen2.generator
import time:      1306 |       8292 |                           parso.pgen2
import time:        70 |       8361 |                         parso.pgen2.generator
import time:      1651 |      12811 |                       parso.parser
import time:       617 |        617 |                         parso._compatibility
import time:       907 |        907 |                           difflib
import time:       903 |        903 |                               parso.python.prefix
import time:      1888 |       2790 |                             parso.python.tree
import time:       910 |       3700 |                           parso.python.parser
import time:      1192 |       5798 |                         parso.python.diff
import time:       794 |        794 |                         parso.cache
import time:       972 |        972 |                           parso.normalizer
import time:      1511 |       2482 |                         parso.python.errors
import time:       962 |        962 |                         parso.python.pep8
import time:       688 |        688 |                         parso.file_io
import time:      1350 |      12687 |                       parso.grammar
import time:      1585 |      27083 |                     parso
import time:       953 |        953 |                     jedi.parser_utils
import time:       898 |        898 |                             colorama.ansi
import time:       371 |        371 |                               msvcrt
import time:       890 |        890 |                               colorama.win32
import time:       958 |       2219 |                             colorama.winterm
import time:      1380 |       4496 |                           colorama.ansitowin32
import time:      1233 |       5728 |                         colorama.initialise
import time:      1418 |       7145 |                       colorama
import time:       836 |       7981 |                     jedi.debug
import time:       838 |        838 |                     jedi.settings
import time:      1054 |       1054 |                     jedi.cache
import time:       914 |        914 |                     jedi.file_io
import time:       758 |        758 |                               jedi.inference.cache
import time:       792 |        792 |                                 jedi.inference.helpers
import time:       892 |        892 |                                 jedi.inference.utils
import time:      1957 |       3640 |                               jedi.inference.base_value
import time:      1038 |       5435 |                             jedi.inference.sys_path
import time:       767 |        767 |                                     jedi.inference.recursion
import time:       898 |       1665 |                                   jedi.inference.flow_analysis
import time:       921 |        921 |                                         jedi.common
import time:       900 |       1821 |                                       jedi.inference.lazy_value
import time:      1288 |       3108 |                                     jedi.inference.docstrings
import time:      1448 |       1448 |                                     jedi.plugins
import time:      1682 |       6237 |                                   jedi.inference.names
import time:      1513 |       9414 |                                 jedi.inference.filters
import time:       829 |        829 |                                   jedi.inference.compiled.getattr_static
import time:      1346 |       2175 |                                 jedi.inference.compiled.access
import time:       865 |        865 |                                 jedi.inference.signature
import time:      1146 |       1146 |                                 jedi.inference.context
import time:      1810 |      15409 |                               jedi.inference.compiled.value
import time:      1315 |      16723 |                             jedi.inference.compiled
import time:       898 |        898 |                             jedi.inference.analysis
import time:      1262 |       1262 |                               jedi.inference.gradual
import time:      1327 |       1327 |                                     jedi.inference.value.module
import time:       917 |        917 |                                           jedi.inference.value.dynamic_arrays
import time:      1981 |       2898 |                                         jedi.inference.value.iterable
import time:      1524 |       4421 |                                       jedi.inference.arguments
import time:       853 |        853 |                                         jedi.inference.parser_cache
import time:       928 |        928 |                                         jedi.inference.gradual.generics
import time:      1453 |       3234 |                                       jedi.inference.value.function
import time:      1478 |       9131 |                                     jedi.inference.value.klass
import time:      1658 |       1658 |                                     jedi.inference.value.instance
import time:      1365 |      13479 |                                   jedi.inference.value
import time:        59 |      13538 |                                 jedi.inference.value.module
import time:      1087 |       1087 |                                   jedi.inference.gradual.base
import time:       957 |        957 |                                   jedi.inference.gradual.type_var
import time:      1433 |       3476 |                                 jedi.inference.gradual.typing
import time:       966 |      17980 |                               jedi.inference.gradual.stub_value
import time:      1772 |      21012 |                             jedi.inference.gradual.typeshed
import time:       911 |        911 |                                 jedi._compatibility
import time:      1810 |       1810 |                                 jedi.inference.compiled.subprocess.functions
import time:       777 |        777 |                                 jedi.api.exceptions
import time:      1927 |       5424 |                               jedi.inference.compiled.subprocess
import time:       105 |       5529 |                             jedi.inference.compiled.subprocess.functions
import time:      1849 |      51443 |                           jedi.inference.imports
import time:       839 |        839 |                               jedi.inference.param
import time:      1049 |       1888 |                             jedi.inference.gradual.annotation
import time:       914 |        914 |                             jedi.inference.value.decorator
import time:      1145 |       3946 |                           jedi.inference.syntax_tree
import time:      1294 |      56682 |                         jedi.inference
import time:        57 |      56739 |                       jedi.inference.utils
import time:       916 |        916 |                         jedi.inference.gradual.conversion
import time:      1102 |       2017 |                       jedi.inference.compiled.mixed
import time:       346 |        346 |                         pydoc_data
import time:      1349 |       1349 |                         pydoc_data.topics
import time:      1112 |       2807 |                       jedi.api.keywords
import time:       827 |        827 |                       jedi.api.completion_cache
import time:      1125 |       1125 |                       jedi.api.helpers
import time:      2069 |      65582 |                     jedi.api.classes
import time:       844 |        844 |                     jedi.api.interpreter
import time:       744 |        744 |                       jedi.api.strings
import time:       750 |        750 |                       jedi.api.file_name
import time:       752 |        752 |                       jedi.inference.docstring_utils
import time:      1330 |       3574 |                     jedi.api.completion
import time:       377 |        377 |                       filecmp
import time:      1141 |       1518 |                     jedi.api.environment
import time:       801 |        801 |                       jedi.inference.references
import time:       907 |       1708 |                     jedi.api.project
import time:      3537 |       3537 |                     jedi.api.errors
import time:       979 |        979 |                       jedi.inference.value.namespace
import time:      1699 |       2678 |                     jedi.api.refactoring
import time:      1436 |       1436 |                     jedi.api.refactoring.extract
import time:       854 |        854 |                     jedi.inference.gradual.utils
import time:      3079 |     123625 |                   jedi.api
import time:      2855 |       2855 |                     jedi.plugins.stdlib
import time:       656 |        656 |                     jedi.plugins.flask
import time:       979 |        979 |                     jedi.plugins.pytest
import time:      1116 |       1116 |                     jedi.plugins.django
import time:      1394 |       6999 |                   jedi.plugins.registry
import time:      1576 |     132199 |                 jedi
import time:     42949 |     181004 |               IPython.core.completer
import time:       927 |        927 |               IPython.terminal.ptutils
import time:      1186 |       1186 |                 IPython.terminal.shortcuts.auto_match
import time:      1644 |       1644 |                   IPython.terminal.shortcuts.filters
import time:      1120 |       2763 |                 IPython.terminal.shortcuts.auto_suggest
import time:      3929 |       7877 |               IPython.terminal.shortcuts
import time:       288 |        288 |               concurrent.futures.thread
import time:      1382 |     191476 |             IPython.terminal.debugger
import time:       871 |        871 |               IPython.lib.clipboard
import time:      1148 |       2018 |             IPython.terminal.magics
import time:      1361 |       1361 |             IPython.terminal.pt_inputhooks
import time:       907 |        907 |             IPython.terminal.prompts
import time:      2943 |     372132 |           IPython.terminal.interactiveshell
import time:      1376 |       1376 |               IPython.core.magics.auto
import time:      2674 |       2674 |               IPython.core.magics.basic
import time:       938 |        938 |                     http
import time:      1006 |       1944 |                   http.client
import time:       198 |        198 |                     urllib.response
import time:       279 |        477 |                   urllib.error
import time:      1523 |       3942 |                 urllib.request
import time:       867 |        867 |                 IPython.utils.contexts
import time:      1540 |       6348 |               IPython.core.magics.code
import time:       997 |        997 |               IPython.core.magics.config
import time:      1491 |       1491 |               IPython.core.magics.display
import time:        69 |         69 |                   _lsprof
import time:       677 |        677 |                   profile
import time:       609 |       1354 |                 cProfile
import time:      1855 |       1855 |                 pstats
import time:       348 |        348 |                 timeit
import time:       788 |        788 |                 IPython.utils.module_paths
import time:        66 |         66 |                   resource
import time:       862 |        928 |                 IPython.utils.timing
import time:       971 |        971 |                 IPython.core.magics.ast_mod
import time:      4021 |      10262 |               IPython.core.magics.execution
import time:       903 |        903 |               IPython.core.magics.extension
import time:      2470 |       2470 |               IPython.core.magics.history
import time:      1046 |       1046 |               IPython.core.magics.logging
import time:      1132 |       1132 |               IPython.core.magics.namespace
import time:      1803 |       1803 |               IPython.core.magics.osm
