NAME,Atwood Hunter,Atwood Hunter.1,Atwood Hunter.2,Atwood Hunter.3,Atwood Hunter.4,Atwood Hunter.5,Atwood Hunter.6,Atwood Hunter.7,Ocean Worker,Ocean Valiant,Ocean Victory,Ocean Endeavor,Ocean Monarch,Ocean Rover,Ocean Star,Blackford Dolphin,Ensco 5006,Ensco 5001,Noble Amos Runner,Noble Paul Romano,Noble Jim Thompson,Noble Max Smith,Noble Homer Ferrington,Noble Clyde Boudreaux,Noble Lorris Bouzigard,NobleTherald Martin,Noble Driller,Deepwater Nautilus,Transocean Marianas,Gsf Celtic Sea,Jack Bates,"M.G. Hulme, Jr",Transocean Richardson,Henry Goodrich,Jim Cunningham,Transocean Leader,Transocean Rather,Soverign Explorer,Aban Abraham,Hysy 981,Ocean Clipper,Ocean Confidence,Ocean Alliance,Ocean Courage,Ocean Valor,Belford Dolphin,Ensco 7500,Ensco 8500,Ensco 8501,Ensco 8502,Ensco 8503,Ensco 8504,Ensco 8505,Ensco DS-1,Ensco DS-2,Ensco 6001,Ensco 6002,Ensco 6004,Ensco 6003,Ensco DS-3,Ensco DS-4,Ensco DS-5,Ensco DS-6,LA Muralla IV,Jasper Explorer,Maersk Developer,Maersk Discoverer,Maersk Deliverer,Noble Paul Wolff,Noble Roger Eason,Noble Leo Segerius,Noble Muravlenko,Noble Dave Beard,Noble Danny Adkins,Noble Jim Day,Noble Phoenix,Noble Globetrotter I,Noble Bully I,Erik Raude,Leiv Eiriksson,Ocean Rig Corcovado,Ocean Rig Olympia,Ocean Rig Poseiden,Ocean Rig Mykonos,Deepsea Metro I,Deepsea Metro II,Deepsea  Stavanger,Deepsea  Atlantic,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,Gold Star,Alpha Star,Lone Star,Saipem 10000,Saipem12000,Scarabeo 5,Scarabeo 8,Scarabeo 9,SC Lancer,West Navigator,West Phoenix,West Eminence,West Sirius,West Taurus,West Hercules,West Aquarius,West Polaris,West Capella,West Orion,West Capricorn,West Pegasus,West Leo,West Gemini,Sevan Driller,Songa Eclipse,Stena Drillmax,Stena Carron,Stena Forth,Stena Icemax,Deepwater Asgard,Deepwater Invictus,Deepwater Champion,Transocean  Barents,Transocean Spitsbergen,Discoverer India,Discoverer Clear Leader,Discoverer Americas,Discoverer Inspiration,Petrobras 10000,Dhirubhai Deepwater KG1,Dhirubhai Deepwater KG2,Discoverer Luanda,Development Driller III,Deepwater Discovery,Deepwater Expedition,Deepwater Frontier,Deepwater Millennium,Deepwater Pathfinder,Discoverer Deep Seas,Discoverer Enterprise,Discoverer Spirit,GSF C.R. Luigs,GSF Jack Ryan,GSF Explorer,GSF Development Driller I,GSF Development Driller II,Deepwater Navigator,Sedco Energy,Sedco Express,Cajun Express,Discoverer 534,Sedco 707,Discoverer Seven Seas,Sedco 702,Sedco 706,Sedco 709,Sedco 710,Platinum Explorer,Titanium Explorer
VESSEL TYPE,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,,SS,SS,SS,SS,SS,SS,SS,SS Fand G 9500,SS,SS,SS,DS,SS,DS,SS,SS,SS,SS,DS,SS,SS,SS,SS,SS,SS,SS,DS,DS,SS,SS,SS,SS,DS,DS,DS,DS,SS,DS,SS,SS,SS,SS,DS,DS,DS,SS,SS,SS,SS,DS,"DS Gusto, MSC Bully PRD",SS,SS,DS,DS,DS,DS,DS,DS,SS,SS,DS,DS,DS,DS,SS,SS,SS,SS,SS,DS,DS,SS,SS,SS,DS,DS,SS,SS,SS,SS,SS,SS,DS,DS,SS,SS,SS,SS,DS,SS,SS,DS,DS,DS,DS,DS,DS,DS,SS,SS,DS,DS,DS,DS,DS,DS,DS,DS,SS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,SS,SS,DS,SS,SS,SS,DS,SS,DS,SS,SS,SS,SS,DS,DS
VESSEL DESIGN,Korkut New Era,Korkut New Era,Korkut New Era,F&G ExD Millennium,Odyssey,Victory,Victory,Enhanced Aker H-3,Enhanced Pacesetter 9500,Odyssey,Victory,Victory,Victory,Victory,Victory,Deepwater,Bingo 8000,Sonat,EVA-4000,EVA-4000,EVA-4000,EVA-4000,Enhanced Pacesetter,Modified Enhanced Pacesetter,Pentagon-85,Pentagon,Aker H-3 Semi (Enhanced),RBS-8M,Sedco 700 Series,F&G L907 Enhanced Pacesetter,F&G L1020 Trendsetter,F&G 9500 Enhanced Pacesetter,GVA 4500,Sonat/Mitsui SES-5000,Enhanced Pacesetter,Aker H-4.2,GVA 4500,Enhanced GVA 4000,Gusto Pelican Class,,Converted Tanker,Aker H-3.2 Mod,4th Gen. Odeco,6th Gen. F&G ExD Millennium,6th Gen. F&G ExD Millennium,Navis,Ensco  7500,Ensco 8500,Ensco 8500,Ensco 8500,Ensco 8500,Ensco 8500,Ensco 8500,"Gusto 10,000","Gusto 10,000",Megathyst,Megathyst,Megathyst,Megathyst,Samsung,Samsung,Samsung,Samsung,F&G ExD Millennium,Gusto Pelican Class,KFELS MSC GUSTO DSS21,KFELS MSC GUSTO DSS21,KFELS MSC GUSTO DSS21,EVA-4000,"Convn, Neddrill","Gusto, Mod. Pelican","Gusto, Mod. Pelican",Modified Enhanced Pacesetter,Bingo 9000,Bingo 9000,IHC Gusto BV Pelican,Globetrotter,2008,Bingo 9000,Bingo 9000,Saipem 10000,Saipem 10001,Saipem 10002,Saipem 10003,Gusto,Gusto,GVA 7500,GVA 7500,"Samsung 10,000","Samsung 12,000","Samsung 12,000","Samsung 12,000",F&G L-900 Pacesetter,GVA 7500,Gusto DSS-38,Gusto DSS-38,Gusto YDS-2000 PLUS,Samsung Heavy Industries,Samsung Heavy Industries,ME4500,Moss CD50 MKII,Frigstad D-90 DRR,Gusto Pelican Ice Class II,MST Converted to Drillship,Moss CS50 MkII,Moss CS50 MkII,"Friede & Goldman, ExD Class","Friede & Goldman, ExD Class",GVA 7500,GVA 7500,"Samsung 10,000","Samsung 10,000","Friede & Goldman, ExD Class","Friede & Goldman, ExD Class",Moss CS50 MkII,Moss CS50 MkII,"Samsung 10,000",Sevan 650,Friede & Goldman ExD,Stena/Samsung,Stena/Samsung,Stena/Samsung,Stena/Samsung,DSME 12000 Ultradeepwater  DS,DSME 12000 Ultradeepwater DS,Transocean/MSC Gusto P10000,Aker H-6e,Aker H-6e,Enhanced Enterprise Class,Enhanced Enterprise Class,Enhanced Enterprise Class,Enhanced Enterprise Class,Samsung 10000,Samsung 10000,Samsung 10000,Enhanced Enterprise Class,Keppel Fels MSC DSS 51,RBF/Samsung,Rauma Repola Arctic,Conoco/Reading & Bates,Conoco/Reading & Bates,Conoco/Reading & Bates,Enterprise Class 2001,Enterprise Class,Enterprise Class,Global Marine 456 Class,Global Marine 456 Class,Global Santa Fe,F&G ExD,F&G ExD,Earl & Wright Sedco 400,SFXpress,SFXpress,SFXpress,Sonat Discoverer,Sedco 700 Series,Sonat Discoverer,Sedco 700 Series,Sedco 700 Series,Sedco 700 Series,Sedco 700 Series,DSME Design 2010,DSME Design
CONSTRUCTION DATE (yr.),1981,1982,1983,2011,1988,1973,1973,1976,1982,1988,1973,1975,1974,1973,1973,Enhanced Aker H-3 1974,1999,1974,1982,1981,1982,1980,1984,1987,1975,1975,1975,1999,1979,1982,1986,1983,1988,1985,1982,1987,1988,1984,1976,2012,1977,1988,1988,2009,2009,2000,2000,2009,2009,2010,2010,2011,2012,1999,1999,2000,2000,2000,2000,2010,2010,2011,2011,2010,2009,2009,2009,2010,1982,1977,1981,1982,1986,1999,1999,1979,2010,2011,2002,2002,2011,2011,2011,2011,2011,2012,2010,2011,2010,2011,2012,2013,1998,2009,2009,2009,2009,2000,2010,1990,2012,2011,1977,2000,2008,2009,2008,2008,2008,2009,2008,2008,2010,2011,2011,2012,2010,2009,,2007,2008,2009,2012,2014,2014,2011,2009,2009,2010,2009,2009,2010,2009,2009,2010,2010,2009,2000,1999,1999,1999,1998,,1999,2000,2000,2000,1972,2005,2005,1971,2000,2000,2000,1975,1976,1976,1973,1976,1977,1983,,2012
UPGRADE DATE (yr.),2001,2002,98/06/11,,2004,2001,1996,-,-,1999,1997,2007,2008,2002,1996,2008,1999,1999,1999,1998,1999,1999,1999,2007,2003,2003,2009,,1998,1998,1997,1996,,2007,1995,1997,1995,,2008,,1999,2000,-,-,-,,-,-,-,-,-,-,-,2004/2009,2005,2009,2010,2010,2010,,,,,,,,,,2006,1998,1997,1997,2008,2009,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,2003,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,2000,2001,2001,2001,1991,1997,1997,2007,2008,1999,2001,,
CLASSIFICATION (society),ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,DNV,DNV,ABS,DNV,DNV,DNV,DNV,ABS,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,DNV,DNV,LR,LR,LR,LR,ABS,ABS,ABS,ABS,,DNV,ABS,ABS,ABS,ABS,BV,ABS,BV,ABS,ABS,ABS,DNV,ABS,DNV,DNV,DNV,ABS,ABS,ABS,ABS,DNV,DNV,NMD,NMD,ABS,ABS,ABS,ABS,,,ABS,ABS,ABS,ABS,ABS,ABS,DNV,DNV,,DNV,DNV,DNV,ABS,ABS,DNV,DNV,ABS,ABS,ABS,ABS,DNV,DNV,ABS,,ABS,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,ABS,ABS,ABS,DNV,ABS,ABS,DNV,ABS,ABS,ABS,DNV,DNV,DNV,ABS,ABS,ABS,ABS,ABS,DNV,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
